screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influence_score,Followwonk,,
IfusMoraine,3377,37851,135,8479,1608,53,11.2085,7.3145,0.0927,700,10.731,1.2656,168631,1282.893,151.3024,91.232,30.3155,1.4483,0.03,0.24,0.27,0.411,527.269,69,,
ebaynetflix,3258,7356,128,101515,917,785,2.2578,8.473,0.109,353,11.382,0.1121,116002,844.976,8.3237,89.976,13.2502,1.2696,0.12,0.16,0.31,0.622,525.5751,55,,
zombiegirl1385,2257,2449,50,77,371,2,1.0851,1.7421,0.0704,9,0.337,4.3766,611687,2070.41,26888.4416,103.012,19.1874,2.3852,0.65,0.08,0.76,0.253,523.8137,34,,
dwayne_illo,2244,7864,93,1235,1165,65,3.5045,2.0504,0.0624,164,4.212,3.4105,379925,1443.163,1168.553,112.929,13.1681,3.5857,0.21,0.12,0.54,0.362,522.425,51,,
looseuterus,2663,14657,134,723,285,29,5.5039,6.5513,0.1273,26,1.007,1.3928,284566,1428.608,1975.9447,89.354,10.6404,1.5375,0.08,0.05,0.23,0.365,521.4419,51,,
KAtBlasingame,2286,6736,155,1470,1962,32,2.9466,0.3198,0.2848,14,0.218,0.1483,110916,731.861,497.8646,113.082,7.1002,1.9511,0.23,0.18,0.33,0.706,516.6939,46,,
DeeplyDapper,1904,6008,124,721,779,70,3.1555,1.791,0.1056,102,1.045,1.4494,197764,1748.427,2425.0028,106.008,16.6134,1.731,0.17,0.18,0.45,0.294,514.0375,41,,
afterallmylove,1640,90343,116,18627,18424,371,55.0872,197.136,0.4024,106,4.51,0.2421,148673,552.928,29.6842,100.281,24.5368,2.0225,0.09,0.29,0.21,0.928,513.1172,79,,
engellaunilsson,3381,4291,65,1298,504,87,1.2692,1.3174,0.1659,31,1.022,0.7874,162313,784.945,604.7342,106.461,26.2103,1.6398,0.24,0.11,0.3,0.642,503.9347,54,,
GavThorpeCreate,3282,15278,150,9327,875,175,4.6551,5.8458,0.1356,471,7.219,0.774,94115,828.48,88.826,103.494,17.9912,1.5,0.11,0.12,0.27,0.601,497.9165,69,,
c0ralsky,1911,9544,160,1366,316,23,4.9942,19.585,0.089,80,1.684,1.2328,269002,1988.451,1455.6742,98.474,21.0821,1.6098,0.04,0.2,0.35,0.25,497.1128,53,,
AGCemporium,673,1459,143,351,1069,30,2.1679,3.2229,0.4606,27,1.131,3.2222,611744,908.881,2589.4046,128.086,19.5068,2.6314,0.77,0.15,0.7,0.545,495.3401,39,,
beckitrain,3545,6086,144,2633,2534,317,1.7168,0.3523,0.213,12,0.283,0.1075,209615,603.042,229.0323,123.051,27.0265,2.0903,0.6,0.16,0.56,0.82,494.4944,50,,
ChronosCrow,3202,2143,68,191,403,9,0.6693,0.2014,0.1071,113,0.436,2.2827,909032,1334.545,6987.1466,88.549,20.6666,1.515,0.27,0.04,0.21,0.366,488.4435,32,,
malpertuis,4012,57675,19,424,1076,32,14.3756,6.991,0.0733,10,0.68,1.6038,128649,1552.612,3661.8208,92.577,6.4973,1.8367,0.05,0.2,0.33,0.314,487.5202,40,,
bsperk02,1318,11516,90,258,398,7,8.7375,27.9659,0.1093,26,1.786,6.9225,512659,2826.726,10956.3023,74.069,1.8216,1.1667,0.03,0.3,0.11,0.171,483.3701,51,,
natsecdalton,1382,5155,160,1480,449,49,3.7301,0.343,0.6795,54,0.261,0.1764,194901,492.327,332.6534,133.47,-2.4188,1.5269,0.17,0.02,0.21,0.976,480.5112,53,,
anmatcoburn,3229,2011,133,384,1272,8,0.6228,1.8579,0.0483,117,0.839,2.1849,143984,2324.353,6053.0026,90.42,13.3,1.1757,0.07,0.03,0.19,0.206,478.8167,34,,
mendozasalado,2548,1955,69,162,371,19,0.7673,0.1817,0.3089,6,0.147,0.9074,52687,572.676,3535.037,118.208,7.0659,1.8727,0.28,0.17,0.43,0.835,478.1845,33,,
_anthony_seger_,647,26667,38,1799,0,337,41.2164,0,0.6708,4,0.022,0.0122,42792,1067.375,593.3157,136.92,22.0193,1.6753,0.15,0.05,0.7,0.448,478.184,42,,
rudytheelder,2949,5406,159,7469,114,519,1.8332,0.0848,0.0309,857,11.417,1.5286,399545,669.946,89.6969,109.064,18.2175,1.35,0.02,0.25,0.66,0.71,475.6617,52,,
