screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,influence_score
AttitudeMag,3410,59696,127,177071,20196,1507,17.5062,1.9449,0.0111,1325,39.481,0.223,945,15.253,0.0861,125.693,7.5486,1.1447,0.08,0.57,0.95,13.4837
AudiMidtown,2989,10799,146,13170,13577,143,3.6129,0.1579,0,6,0.505,0.0383,4,0.139,0.0106,128.995,33.677,1.3719,0.73,0.03,0.99,0.0157
AutographItNow,1009,4694,120,271,230,39,4.6521,0.2963,0.0595,33,0.208,0.7675,437352,532.361,1964.4317,113.326,24.2269,2.1491,0.74,0.46,0.8,68.6746
AVStudioGames,2034,3002,65,1651,920,46,1.4759,0.5703,0.1642,100,4.574,2.7704,230156,249.567,151.1611,102.531,23.2645,2.1667,0.13,0.16,0.29,128.2774
Awesome8sRPG,819,11740,149,904,708,85,14.3346,0.1746,0.0256,28,0.892,0.9867,201004,241.648,267.3097,110.166,10.8393,1.5604,0.79,0.44,0.46,39.147
AxidentalDM,300,1452,92,243,348,4,4.84,3.3,0.1367,65,1.557,6.4074,36058,85.747,352.8683,100.389,14.5631,2.0276,0.18,0.09,0.38,11.2329
azazel_42,2189,9727,17,246,447,20,4.4436,4.3202,0.2115,3,0.101,0.4106,315628,2957.667,12023.0366,90.261,14.9665,1.7221,0.42,0.24,0.42,1390.1035
B_Crilly,1968,2961,151,702,652,50,1.5046,2.2698,0.1103,177,3.04,4.3305,126286,466.724,664.849,123.072,26.1879,1.3763,0.28,0.04,0.55,198.3577
BackerClub,1368,49229,160,8068,5493,1529,35.9861,25.5015,0.0899,6,0.337,0.0418,6,0.356,0.0441,116.19,27.4473,2.5191,0.18,0.01,0.98,0.0915
BackerGuru,553,1305,158,2939,3588,27,2.3599,0.0289,1.5099,6,0.054,0.0184,21216,39.751,13.5253,129.554,29.3604,1.4867,0.26,0.07,0.62,33.5896
backrelease_,223,2183,126,2450,3094,9,9.7892,91.2511,0.0897,25,0.475,0.1939,23,0.155,0.0633,127.011,15.5996,1.5741,0.37,0.15,0.97,0.013
BackspindleGame,2267,9539,100,2618,1960,129,4.2078,3.2378,0.1804,18,1.989,0.7597,282917,498.534,190.4255,117.794,36.7698,2.1623,0.5,0.14,0.53,377.8888
BadAstronomer,4092,78832,128,629356,541,12927,19.2649,0.2441,0.0112,3937,111.901,0.1778,16310,80.75,0.1283,94.229,21.1864,1.2941,0.03,0.09,0.51,45.9468
baldengineer,3901,6116,113,1907,636,95,1.5678,0.2992,0.0708,52,1.926,1.01,281312,333.86,175.0708,108.626,11.1098,1.2692,0.13,0.28,0.67,169.9347
balio85,3792,4298,160,237,164,7,1.1334,0.0013,0.091,5,0.064,0.27,210033,616.034,2599.2996,94.257,9.0006,2.3638,0.69,0.19,0.44,255.6541
bantonframework,2100,7552,84,3304,2683,189,3.5962,8.9252,0.0414,8,0.551,0.1668,75193,94.403,28.5723,117.077,20.3554,1.93,0.1,0.47,0.86,15.6709
BaRPiGgame,760,2568,156,405,397,30,3.3789,2.6342,0.2592,28,1.675,4.1358,23758,97.137,239.8444,113.746,25.223,3.5666,0.53,0.14,0.73,44.7802
Bayo1000,2567,1003,142,1045,710,0,0.3907,0.044,0.0561,104,0.8469,0.7837,1701728,2899.0228,2682.6364,94.849,4.8062,1.7202,0.2,0.2,0.52,857.5309
