screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
CARmagazine,3666,20272,158,177967,440,1736,5.5297,0.7452,0.0207,159,12.521,0.0704,86,4.13,0.0232,105.702,17.6634,1.1336,0.54,0.5,0.78,0.821,1
notreble,3680,20275,121,18958,746,376,5.5095,0.6883,0,94,4.924,0.2597,21,0.881,0.0465,71.285,2.9797,2,0,0,1,0.461,0
NoaTugy,963,20353,158,626,1981,17,21.135,82.8692,0.3936,7,0.306,0.4888,159449,1634.257,2610.6342,89.418,15.4178,1.5094,0.11,0.18,0.17,0.388,0
PenanceRPG,1106,20383,155,4876,4799,72,18.4295,49.3797,0.4792,31,2.823,0.579,351796,747.187,153.2377,130.55,9.5171,3.2135,0.53,0.09,0.44,0.795,1
JonSchnepp,2527,20778,157,64093,1997,472,8.2224,39.2881,0.1381,1191,45.024,0.7025,168393,2766.76,43.1679,108.386,12.3772,1.6216,0.22,0.09,0.43,0.745,1
SueForMayor,1243,20833,0,163,246,60,16.7603,0.3186,0,9,0.458,2.8098,13,0.49,3.0061,81.162,-0.9505,3.6282,0.16,0,1,0.389,0
joygraceharmony,2050,21014,157,478,1650,16,10.2507,0.5341,0.1039,7,0.104,0.2176,59346,107.882,225.6946,65.169,12.2557,1.9412,0.1,0.02,0.9,0.276,0
kickstarter,3556,21166,35,1111012,1063,14962,5.9522,7.4578,0.1088,250,11.655,0.0105,501,11.908,0.0107,135.625,25.4436,1.1238,0.1,0.03,0.64,0.97,1
SCP_1247,2589,21293,132,840,798,7,8.2244,2.6879,0.1051,48,2.047,2.4369,68374,418.009,497.6298,83.73,2.4934,1.1333,0.01,0.24,0.26,0.398,0
IamKaylaVon,2792,21522,30,555,414,3,7.7085,0.7708,0.2468,35,0.162,0.2919,289412,18985.37,34207.8739,84.125,4.5443,1.1714,0.07,0.36,0.2,0.73,1
