screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
JLC613Mitz,193,586,102,1657,1849,0,3.0363,7.1503,0.4974,6,0.3242,0.1147,18376,76.8276,27.1702,112.5205,42.8985,2.4317,0.39,0.02,0.87,0.2338,0
gamers_cosmic,497,604,111,149,224,3,1.2153,2.6459,0.2093,13,1.8725,7.5906,229376,824.7566,3343.3087,104.2831,21.4607,1.7105,0.62,0.2,0.56,0.4421,0
nicoxbat,1344,607,143,1309,1223,9,0.4516,0.9427,0.218,108,1.1096,0.5027,101527,960.5464,435.1444,115.6003,29.5971,2.7147,0.56,0.16,0.4,0.6695,1
jspeckman,3686,616,0,84,77,0,0.1671,0.7189,0.1305,8,0.1906,1.4048,76,6.8255,50.2976,115.1163,32.4851,1.4729,0.81,0.27,0.18,0.8207,1
zeedox,3252,688,159,688,226,16,0.2116,0.262,0.0618,539,3.7634,3.7689,1736,12.6807,12.6991,95.7097,18.5367,1.1875,0.14,0.17,0.38,0.4122,0
Scottie_Mick,2489,695,54,41,214,5,0.2792,0.0562,0.0502,16,0.2374,4.0244,50348,186.7424,3165.5122,101.4978,10.8167,1.4762,0.3,0.11,0.52,0.2345,0
PatHickey3,2483,715,0,419,603,4,0.288,0.0238,0.0826,57,0.4219,0.716,1143369,2756.692,4677.8234,93.4852,25.1554,1.3457,0.11,0.06,0.04,0.3952,0
Goblin_Guild,784,717,71,506,937,4,0.9145,1.2283,0.2309,31,3.2176,4.5593,6774,25.1646,35.6581,82.6625,15.5821,1.9514,0.2,0.5,0.3,0.5983,1
behindtheindies,110,730,160,303,284,1,6.6364,5.8727,2.2727,23,2.3499,5.6304,193,4.8003,11.5017,130.949,30.1674,2.2612,0.59,0.03,0.62,0.741,1
Johnrap,3396,747,160,50668,47698,58,0.22,0.4491,0.0318,66,2.3812,0.035,6327,47.2846,0.6953,100.6725,16.2083,1.5541,0.1,0.12,0.24,0.3087,0
tlarraya,2464,765,39,119,274,2,0.3105,1.6692,0.0852,32,0.7556,4.8571,102601,252.6379,1624.1008,99.034,28.1562,1.4545,0.07,0.1,0.32,0.3176,0
BGamesFestival,1807,774,110,632,743,20,0.4283,0.2916,0.1732,14,0.5814,0.712,573,2.9548,3.6187,103.1705,16.0483,1.7671,0.51,0.25,0.43,0.5646,1
AltNewsMedia,312,858,157,8680,102,31,2.75,1.5192,0.8205,2010,49.7119,4.891,109333,347.1733,34.1574,119.5843,-0.2233,1.2113,0.08,0.05,0.73,0.9754,1
NDShipley,3383,919,123,388,1273,37,0.2717,0.1138,0.0653,74,1.0507,2.4588,47315,292.2236,683.8634,100.7599,23.6964,1.5941,0.41,0.19,0.51,0.3139,0
Nneka94503778,41,952,155,36,51,0,23.2195,35.8049,8.4878,121,1.5699,41.4722,217781,2107.3396,55668.8889,117.1335,3.1806,1.4102,0.35,0.17,0.45,0.4848,0
casithlord,3581,997,0,260,170,5,0.2784,0.0195,0.0545,20,0.51,1.9577,22103,85.7134,329.0077,100.1994,22.5368,1.4171,0.19,0.06,0.19,0.2495,0
rivalmit,626,997,0,2444,9,18,1.5927,0.2173,0.0144,821,24.4473,9.973,23904,30.3531,12.3822,90.7111,26.9367,3.3728,0.58,0.48,0.64,0.4142,0
BluffCreekElem,1215,1036,0,267,37,3,0.8527,0.084,0.1416,50,2.554,9.5655,50,0.624,2.3371,100.175,35.3274,1.2,0.09,0.84,0.11,0.35,0
D_B_Green,1160,1039,117,402,422,26,0.8957,0.2957,0.0233,24,1.069,2.6592,18011,34.838,86.6617,128.972,39.1515,2.8165,0.42,0.07,0.75,0.25,0
FailroadExpress,1957,1044,157,228,383,27,0.5335,0.1191,0.068,32,0.542,2.3772,21866,35.695,156.557,110.413,16.3213,2.8767,0.74,0.12,0.59,0.284,0
dwspainting,2663,1088,0,71,22,1,0.4086,0.0083,0.0026,37,0.077,1.0845,10,0.048,0.6761,72.664,14.7815,2.5,0,0.01,0.26,0.017,0
lanzastudy,477,1107,48,149,436,1,2.3208,2.9539,1.9036,7,0.105,0.7047,391,6.106,40.9799,122.364,17.6729,1.8536,0.36,0.2,0.35,0.922,1
