screen_name,life_long,Number_of_statues,Length_of_description,followers_count,friends_count,listed_number,Avg_tweets_per_day,Avg_favorite_per_day,Avg_retweets_per_day,Most_favorited,Avg_favorited_per_tweet,Avg_favorites_per_user,Most_retweeted,Avg_retweeted_per_tweet,Avg_retweets_per_user,Avg_length_of_tweets,sentiment_score,Avg_hashtags_per_tweet,tweets_with_hashtags,tweets_with_media,tweets_with_url,retweet_rate,influencial
Johnrap,3402,769,160,51822,49892,62,0.226,0.4718,0.0317,66,2.3812,0.0342,6327,47.2846,0.6798,100.6725,16.2083,1.5541,0.10,0.12,0.24,0.3087,0
jojojeje,3373,9532,85,322,264,12,2.826,0.1758,0.0213,23,0.835,2.5932,33510,145.746,452.6273,117.475,28.9997,1.3788,0.26,0.34,0.51,0.151,0
JonSchnepp,2527,20778,157,64093,1997,472,8.2224,39.2881,0.1381,1191,45.024,0.7025,168393,2766.76,43.1679,108.386,12.3772,1.6216,0.22,0.09,0.43,0.745,1
jordan_long95,2256,4633,42,125,409,5,2.0536,0.6871,0.0208,6,0.647,5.176,677052,1475.364,11802.912,86.594,16.8401,1.5094,0.53,0.04,0.25,0.067,0
JorgeBucaran,637,2243,150,1074,65,28,3.5212,0.0848,0.6593,177,1.741,1.621,126550,506.475,471.5782,102.677,20.2411,1.7266,0.13,0.09,0.38,0.526,1
joy_m_banks,2254,1369,157,286,248,28,0.6074,0.5377,0.0479,34,1.152,4.028,148,1.658,5.7972,103.643,27.0832,1.6788,0.79,0.12,0.19,0.354,0
joygraceharmony,2050,21014,157,478,1650,16,10.2507,0.5341,0.1039,7,0.104,0.2176,59346,107.882,225.6946,65.169,12.2557,1.9412,0.10,0.02,0.90,0.276,0
jspeckman,3692,663,0,87,80,0,0.1796,0.7467,0.1303,8,0.1906,1.3563,76,6.8255,48.5632,115.1163,32.4851,1.4729,0.81,0.27,0.18,0.8207,1
juliyeauuh,3359,23413,22,415,198,1,6.9702,3.8651,0.0313,36,0.914,2.2024,167574,1084.913,2614.2482,74.95,6.4828,2.3519,0.05,0.16,0.14,0.125,0
JustinSirois,3276,1235,125,812,1193,23,0.377,0.1404,0.0406,28,0.493,0.6071,44665,203.292,250.3596,101.749,20.7998,2.0533,0.23,0.08,0.40,0.265,0
JustKlikkit,111,162,134,213,855,2,1.4595,1.8468,0.1081,7,1.0641,0.7793,6,0.8141,0.5962,121.8654,45.7827,1.5761,0.59,0.15,0.71,0.4359,0
justplainloco,602,1022,94,189,160,1,1.6977,9.5731,0.0282,163,1.837,9.7196,26122,58.247,308.1852,91.767,11.6437,1.0,0.00,0.01,0.34,0.133,0
jwisser,4154,188306,55,1198,139,92,45.3312,31.3442,0.0067,14,1.245,1.0392,25568,84.018,70.1319,83.978,11.7765,1.1429,0.01,0.09,0.33,0.062,0
K_Kuota,3272,334989,104,2191,932,114,102.3805,0.2359,0.0272,37,0.507,0.2314,80584,596.252,272.1369,36.518,0.1553,2.3684,0.02,0.13,0.07,0.12,0
KanDaoVR,429,280,23,297,218,13,0.6527,1.3007,0.0583,13,1.8922,1.7138,15,1.0483,0.9495,114.0781,35.1877,1.4667,0.17,0.20,0.57,0.4684,0
Kardify,1730,2675,0,1447,158,13,1.5462,1.2179,0.0393,27,2.71,1.8728,65,0.788,0.5446,116.55,26.291,1.2286,0.39,0.67,0.80,0.437,0
KAtBlasingame,2259,6679,156,1460,1938,32,2.9566,0.2926,0.2882,14,0.218,0.1493,110916,731.861,501.2747,113.082,7.1002,1.9511,0.23,0.18,0.33,0.706,1
KathleenHarrym1,947,139461,150,18083,4546,546,147.2661,108.2059,0.8237,70,1.533,0.0848,10814,102.767,5.6831,137.237,14.5925,3.0997,0.65,0.06,0.56,0.989,1
KathyHolzapfel,2199,12055,157,9710,8800,395,5.482,0.9914,0.0045,14,0.573,0.059,2317,2.768,0.2851,99.518,15.7452,2.4353,0.94,0.02,0.94,0.204,0
KatrinaHaffner,1907,33,132,83,144,2,0.0173,0.001,0.0021,4,0.7576,0.3012,8326,284.3333,113.0482,123.4242,7.0318,1.6,0.15,0.03,0.85,0.8182,1
katyfaise,2220,56748,149,846,544,15,25.5622,14.7356,0.1518,169,3.58,4.2317,503228,3641.057,4303.8499,95.227,12.4604,1.5826,0.12,0.18,0.28,0.416,0
KAy_TIEmyshoes,2543,30287,75,3196,1421,5,11.9099,13.3783,0.2666,4654,14.854,4.6477,357179,29820.749,9330.6474,83.405,9.2927,1.2857,0.01,0.36,0.14,0.771,1
kayleebird_,1564,13338,11,923,293,2,8.5281,13.3248,0.562,54,0.655,0.7096,514068,37301.526,40413.3543,95.015,7.7952,1.125,0.02,0.14,0.29,0.96,1
kendramcantrell,788,166,58,43,54,9,0.2107,0.085,0.0457,11,0.8976,3.4651,333,10.6325,41.0465,124.5181,25.7742,1.2773,0.72,0.20,0.40,0.3675,0
KerryJDonovan,1842,55824,115,11733,6625,811,30.3062,1.7796,0.4712,8,0.18,0.0153,545,23.03,1.9628,138.27,14.1601,2.6065,0.34,0.08,0.51,0.979,1
kerstyncomley,1454,2192,98,664,983,75,1.5076,0.1541,0.3494,19,0.562,0.8464,92231,148.322,223.3765,119.849,33.8274,1.4982,0.28,0.08,0.40,0.675,1
kick_boardgames,35,542,35,154,19,4,15.4857,0.0,0.0,5,0.1743,0.4675,3,0.0678,0.1818,95.092,-0.1433,0,0.00,0.00,1.00,0.0605,0
Kickfunding,1413,23223,75,893,839,26,16.4352,0.4508,0.1054,9,0.691,0.7738,7,1.21,1.355,71.075,7.7463,3.6875,0.02,0.32,1.00,0.319,0
Kickstartech,1437,29911,85,169,3,36,20.8149,0.0,0.0,3,0.027,0.1598,2,0.009,0.0533,64.692,9.9552,1.0,0.00,0.00,1.00,0.008,0
kickstarter,3556,21166,35,1111012,1063,14962,5.9522,7.4578,0.1088,250,11.655,0.0105,501,11.908,0.0107,135.625,25.4436,1.1238,0.10,0.03,0.64,0.97,1
Kidzcoolit,2750,35614,157,21378,3230,69,12.9505,1.8924,0.0815,53,2.631,0.1231,30151,61.765,2.8892,125.479,11.2125,1.5203,0.47,0.21,0.76,0.813,1
KiMcKenzieVA,398,79,104,39,36,0,0.1985,0.0201,0.0126,6,0.6835,1.3846,29,0.7089,1.4359,113.0253,31.9551,2.0,0.03,0.03,0.78,0.1392,0
KimOlson4TxAg,467,858,125,2285,291,27,1.8373,1.045,0.3533,224,14.8361,5.5059,45074,151.5696,56.2499,104.0024,22.2677,1.3357,0.33,0.31,0.39,0.8667,1
KindaHibrawi,3316,4117,27,1348,666,70,1.2416,1.2198,0.2476,15,0.347,0.2574,644988,8232.091,6106.8924,123.213,-0.3165,1.3566,0.29,0.14,0.26,0.889,1
Kipel7,3121,253,132,67,306,2,0.0811,0.1099,0.0282,15,0.498,1.8806,492744,4215.1265,15916.8209,89.834,22.4632,1.6194,0.53,0.20,0.43,0.4348,0
kirileonard,3057,8240,124,2259,576,139,2.6955,1.6896,0.0622,431,6.039,2.6733,235256,708.38,313.5812,96.904,36.8174,1.6854,0.27,0.08,0.49,0.377,0
KirstenAlana,3521,72342,154,24029,6737,1196,20.5459,6.6703,0.0386,1334,3.686,0.1534,59104,157.553,6.5568,98.563,36.5493,1.372,0.16,0.08,0.43,0.309,0
kittyslaundry,217,209,150,622,746,5,0.9631,1.553,0.3318,63,6.1183,1.8296,126,7.043,2.1061,120.2957,43.3388,1.3438,0.17,0.04,0.51,0.7957,1
kmnei,2024,353,69,11377,3166,161,0.1744,11.1369,0.0198,84,5.2991,0.1635,286,6.6581,0.2054,114.245,23.4138,1.6515,0.38,0.36,0.72,0.6011,1
